algorithm,label,dim,n,mean,std,median,p25,p75,final_att_mean,final_att_std,final_att_median
vanilla_winner,Vanilla,5,5000,0.8475542429455681,0.2211316349187498,0.9532718611776829,0.8702909433899169,0.9643074539605435,0.904391958779595,0.22480737490268693,1.0
neutral_winner,Neutral,5,5000,0.8331039783081258,0.23511699376139616,0.9529000964490137,0.856567694503665,0.964948548725769,0.8966803272099467,0.23437835606653157,1.0
sage_winner,SAGE,5,5000,0.8426144958651339,0.22097731348164507,0.953464085818464,0.8531353324263624,0.9661725011480227,0.9106705731406249,0.2221163335615853,1.0
combined_neutral_winner,Combined,5,5000,0.8151843530949097,0.2564265587093186,0.9480189457845594,0.8854506003219448,0.9610359456723492,0.8533582819854574,0.27558750591945125,1.0
cma_es,CMA-ES,5,5000,0.7279061137088207,0.30068333939033093,0.9315700607768074,0.3885823210464232,0.9536011291929335,0.7660968106189603,0.3226897301131908,1.0
neighborhood_adaptive_de,NADE,5,5000,0.8098327404159316,0.17754513115459267,0.8689884903708844,0.8174197859197878,0.9028367500320357,0.9368176921162569,0.19154529066737164,1.0
vanilla_winner,Vanilla,10,5000,0.7980071793115017,0.25732440057214256,0.950426428183131,0.704009506300902,0.9647111303937063,0.8696259720137296,0.26236522953106056,1.0
neutral_winner,Neutral,10,5000,0.8101202976888159,0.24716097974391407,0.9480285324656544,0.7716008897452662,0.9646371391585982,0.8873727897526602,0.2503002759316019,1.0
sage_winner,SAGE,10,5000,0.7891430967040834,0.2620796278319652,0.9423695483171102,0.6744409471862588,0.9622504974131472,0.8551019542025333,0.27416566829385497,1.0
combined_neutral_winner,Combined,10,5000,0.7625117861310748,0.2901045941405099,0.9424456897756492,0.4683138890685142,0.9600663247594796,0.8026086564551875,0.3098715458960083,1.0
cma_es,CMA-ES,10,5000,0.7009384795411092,0.30534953106107826,0.9105021248055623,0.34911847257608497,0.9483755688720243,0.7448784554398309,0.33156655920354633,1.0
neighborhood_adaptive_de,NADE,10,5000,0.6633094488814539,0.26707562392682804,0.8105972674940953,0.38539997998544506,0.8914973221781419,0.7630697926943936,0.3063328152719327,1.0
vanilla_winner,Vanilla,20,5000,0.7300237176727397,0.2943404325653055,0.9114959243489194,0.42390043665092303,0.9640795429125358,0.8088480044412799,0.3064442159671289,1.0
neutral_winner,Neutral,20,5000,0.745447420882108,0.28721223360927445,0.9166203149621561,0.5032371321864171,0.9642700975343608,0.8231379213983413,0.3013709103776042,1.0
sage_winner,SAGE,20,5000,0.696411313804905,0.29687045346363455,0.8427165768995392,0.36743614710772005,0.956001759897582,0.7673993134531844,0.32180465610688125,1.0
combined_neutral_winner,Combined,20,5000,0.703750217491036,0.3130731169817718,0.9217790503570811,0.33063628613048346,0.9592182134952805,0.7484008998185606,0.3374533207285919,1.0
cma_es,CMA-ES,20,5000,0.6495380795998849,0.31362182835957797,0.8183242772508483,0.29717292102044446,0.9438867838241021,0.7005062301257894,0.34533721118362354,1.0
neighborhood_adaptive_de,NADE,20,5000,0.4707061025150715,0.26864622050072023,0.36682517484518756,0.24811824919259667,0.7387583909433091,0.5463992808134016,0.3233730715966029,0.4080082535743713
