condition,seed,generation,name,label,detail
vanilla,0,487,BD_CMA_ES_Optimizer,unclassified_success,ok
vanilla,1,3,DirectionalAdaptiveSearch,runtime_error,IndexError: list index out of range
vanilla,1,24,AdaptiveManifoldDescentOptimizer,runtime_error,AttributeError: 'AdaptiveManifoldDescentOptimizer' object has no attribute 'BD'
vanilla,1,33,IGSCMAES,unclassified_success,ok
vanilla,1,36,IGPGCMA,unclassified_success,ok
vanilla,1,46,CMA_ALFA,runtime_error,"ValueError: could not broadcast input array from shape (2,0) into shape (2,2)"
vanilla,1,47,CMABMSP,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,49,CMABMSP,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,71,CMAMSPS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,73,CMA_SMALS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,86,CMAEAS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,89,CMA_MGOS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,91,CMARDMSL,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,98,CMAEAS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,101,CMASRV,unclassified_success,ok
vanilla,1,105,CMA_AMOS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,125,OM_CMA_ALR,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,126,ODST,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,1,131,CFAMS,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,1,140,OM_CMA_ALL,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,154,OM_CMA_ASH,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,163,OM_CMA_ES,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,175,OM_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,184,OMARC,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,193,OMAR_CMA,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,196,OM_LCA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,203,OM_CMA_ALR,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,213,OMCMA_ALR,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,222,OMCMA_ALR,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,241,AIMES,unclassified_success,ok
vanilla,1,244,AIMD,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,250,OM_ALR,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,251,CF_EDS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,256,OM_CMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,259,AIM_CMA,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,1,268,OM_CMA_ALR,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,269,OM_CMAE,unclassified_success,ok
vanilla,1,277,OMC_AL,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,279,EGDS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,284,OMARCMA,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,293,AIM_CMA,code_generation,"unmatched ')' (<unknown>, line 99)"
vanilla,1,298,OM_CMA_AM,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
